,precision,recall,f1-score,support
angry,0.0,0.0,0.0,0.0
happy,0.1409965167348175,0.2141214351425943,0.1700301342343165,4348.0
sad,0.16821739772559444,0.22403619197482297,0.19215520877266973,5084.0
neutral,0.13986928104575164,0.06313926042486231,0.08700365903238921,5084.0
fear,0.28109638015790256,0.3711644374508261,0.3199118419937272,5084.0
disgust,0.283206106870229,0.07297403619197482,0.11604629340006256,5084.0
surprise,0.526075022872827,0.11309992132179386,0.18617451837461552,5084.0
micro avg,0.19090776202309603,0.17549045955388337,0.18287474620177832,29768.0
macro avg,0.21992295791530317,0.15121932607241062,0.15304595082968295,29768.0
weighted avg,0.25943445276716554,0.17549045955388337,0.17876434827097218,29768.0
samples avg,0.17549045955388337,0.17549045955388337,0.17549045955388337,29768.0
