,precision,recall,f1-score,support
angry,0.18973561430793157,0.15885416666666666,0.17292700212615164,768.0
happy,0.26666666666666666,0.03125,0.055944055944055944,1152.0
sad,0.1956521739130435,0.4921875,0.28,768.0
neutral,0.23803009575923392,0.2265625,0.23215476984656436,768.0
fear,0.1773049645390071,0.1953125,0.18587360594795538,768.0
disgust,0.16068052930056712,0.11067708333333333,0.13107170393215112,768.0
surprise,0.32786885245901637,0.234375,0.2733485193621868,768.0
micro avg,0.2096924510717614,0.1953125,0.20224719101123595,5760.0
macro avg,0.22227698527792375,0.20703124999999997,0.19018852245129506,5760.0
weighted avg,0.22523629737050663,0.1953125,0.18123889135081245,5760.0
samples avg,0.1953125,0.1953125,0.1953125,5760.0
