,precision,recall,f1-score,support
angry,0.5384615384615384,0.029166666666666667,0.05533596837944664,240.0
happy,0.5153374233128835,0.175,0.26127527216174184,480.0
sad,0.19574468085106383,0.19166666666666668,0.1936842105263158,240.0
neutral,0.25274725274725274,0.09583333333333334,0.13897280966767372,240.0
fear,0.17041800643086816,0.22083333333333333,0.19237749546279495,240.0
disgust,0.3925233644859813,0.175,0.24207492795389046,240.0
surprise,0.21008403361344538,0.625,0.31446540880503143,240.0
micro avg,0.24785801713586292,0.2109375,0.22791221159257175,1920.0
macro avg,0.3250451857004334,0.21607142857142855,0.19974087042241354,1920.0
weighted avg,0.3488317154019896,0.2109375,0.20743267063982962,1920.0
samples avg,0.2109375,0.2109375,0.2109375,1920.0
