,precision,recall,f1-score,support
angry,0.08944723618090453,0.055625,0.06859344894026975,1600.0
happy,0.22135231316725978,0.194375,0.20698835274542432,1600.0
sad,0.5222222222222223,0.17625,0.2635514018691588,1600.0
neutral,0.03048780487804878,0.028125,0.02925877763328999,1600.0
fear,0.4382544103992572,0.295,0.35263354501307437,1600.0
disgust,0.15976171134578934,0.36875,0.2229359531456641,1600.0
surprise,0.19951632406287786,0.103125,0.13597033374536466,1600.0
micro avg,0.19514630979726355,0.1744642857142857,0.18422665346721348,11200.0
macro avg,0.23729171746519429,0.1744642857142857,0.18284740187032084,11200.0
weighted avg,0.23729171746519423,0.1744642857142857,0.18284740187032086,11200.0
samples avg,0.1744642857142857,0.1744642857142857,0.1744642857142857,11200.0
